discoverymethod,description,periastrontime,discoveryyear,eccentricity,semimajoraxis,period,name,mass,periastron,list,lastupdate
RV,"This planet is orbiting the brighest star in the bowl of the Little Dipper. The star is K giant, 130 times more luminous than the Sun and about 130 light years away. The planet was found using data collected from the Bohyunsan Observatory.",2453175.3,2014,0.19,1.4,522.3,beta Ursae Minoris b,6.1,307.4,Confirmed planets,15/11/26
imaging,,,2011,,2.6,9855,CFBDS 1458 b,6.5,,Confirmed planets,11/03/08
imaging,"This planet is an orphan planet, which means it is not orbiting any star. Some people therefore argue that it should not be called a planet. The object is associated with the AB Doradus moving group which allows astronomers to determine its age and therefore its mass.",,2012,,,,CFBDSIR2149,5.5,,Confirmed planets,12/11/14
imaging,"This planet was discovered by Fontanive et al. 2020. It is a planetary-mass companion to CFHTWIR-Oph 98, a low-mass brown dwarf member of the young Ophiuchus star-forming region. The low component masses and very large separation make this binary the lowest binding energy system imaged to date, indicating that the outcome of low-mass star formation can result in such extreme, weakly-bound systems. The discovery was made with the 2.4 m Hubble Space Telescope.",,2020,,200.000000,8040000.00000000,CFHTWIR-Oph 98 A b,7.80000,,Confirmed planets,21/06/13
imaging,"The companion CHXR 73 b is just under the threshold for deuterium fusion. Therefor, its status as a planet is uncertain.",,2006,,,,CHXR 73 b,12,,Confirmed planets,11/03/08
RV,CI Tau b is a massive planet candidate orbiting a classical T Tauri star.,,2016,0.28,,8.9891,CI Tau b,12.31,,Confirmed planets,17/12/01
imaging,"COCONUT-2b is the second coldest directly imaged exoplanet. The acronym COCONUT stands for COol Companions ON Ultrawide orbiTS. Archival data from ASAS-SN, Evryscope, KELT, and SuperWASP reveal a prominent apsidal motion of the binary orbit, caused by the dynamical interactions between the binary and the planet. The system is accessible for high-resolution spectroscopic observations, e.g. Rossiter-McLaughlin effect and transit spectroscopy.",,2021,,6471.0,,COCONUTS-2 b,6.4,,Confirmed planets,21/07/08
transit,,,2010,0.53,0.1055,13.2406,CoRoT-10 b,2.75,,Confirmed planets,10/06/14
transit,,,2010,0.0,0.04351,2.994325,CoRoT-11 b,2.49,,Confirmed planets,12/07/02
transit,,,2010,0.07,0.04016,2.828042,CoRoT-12 b,0.917,,Confirmed planets,10/06/14
transit,,,2010,0.0,0.051,4.03519,CoRoT-13 b,1.308,,Confirmed planets,10/07/12
transit,,,2010,0.0,0.027,1.51214,CoRoT-14 b,7.6,,Confirmed planets,10/12/22
transit,,,2010,0.33,0.0618,5.35227,CoRoT-16 b,0.53,,Confirmed planets,11/06/14
transit,,,2010,0.0,0.0461,3.768125,CoRoT-17 b,2.45,,Confirmed planets,11/05/11
transit,,,2011,0.08,0.0295,1.9000693,CoRoT-18 b,3.47,,Confirmed planets,12/04/05
transit,,,2011,0.047,0.0518,3.89713,CoRoT-19 b,1.11,,Confirmed planets,11/07/05
transit,"The star CoRoT-1 is a sun-like star in the constellation of Monoceros. The planet CoRoT-1b is the first planet discovered by the European space mission CoRoT (COnvection, ROtation and planetary Tansits).",,2007,0.0,0.0254,1.5089557,CoRoT-1 b,1.03,,Confirmed planets,12/04/05
transit,,,2011,0.59,0.090,9.24285,CoRoT-20 b,4.3,60.1,Confirmed planets,18/08/31
RV,CoRoT-20 c is a massive radial velocity-detected companion to the exoplanet host star CoRoT-20. It may have excited the eccentricity of the transiting hot Jupiter via the Lidov-Kozai mechanism.,2454136,2018,0.60,2.90,1675,CoRoT-20 c,17,65.0,Confirmed planets,18/08/31
transit,,,2011,0.0,0.0417,2.72474,CoRoT-21 b,2.26,,Confirmed planets,11/12/13
