magK,magB,metallicity,magH,name,mass,magV,spectraltype,radius,magJ,temperature,planets
11.077,14.176,0.31,11.177,K2-191,0.901,13.258,,0.840,11.608,,1.0
10.657,13.550,0.05,10.715,K2-192,0.873,12.704,,0.828,11.121,,1.0
11.479,14.037,0.21,11.579,K2-193,0.994,13.251,,0.957,11.934,,1.0
11.570,13.462,0.1,11.664,K2-194,1.110,12.908,,1.28,11.881,,1.0
10.876,13.132,-0.09,10.904,K2-195,0.963,12.497,,0.906,11.248,,2.0
10.617,12.635,0.01,10.686,K2-196,1.162,12.060,,1.54,10.950,,1.0
10.479,12.884,-0.01,10.558,K2-197,0.975,12.157,,0.910,10.881,,1.0
9.228,,,9.313,K2-198,0.80,10.971,,0.76,9.741,5212.90,3.0
9.625,13.323,-0.23,9.726,K2-199,0.706,12.289,,0.667,10.277,,2.0
10.375,13.380,-0.04,10.460,K2-200,0.860,12.459,,0.792,10.877,,1.0
,,,,K2-2016-BLG-0005L,0.584,,,,,,1.0
10.198,13.061,0.13,10.273,K2-201,0.956,12.809,,0.878,10.653,,2.0
11.046,14.206,0.27,11.144,K2-202,0.971,13.297,,0.911,11.547,,1.0
10.206,13.272,-0.07,10.281,K2-203,0.794,12.353,,0.763,10.773,,1.0
11.478,13.643,0.07,11.569,K2-204,1.009,13.010,,1.18,11.839,,1.0
10.879,12.994,-0.26,10.933,K2-205,0.951,12.391,,1.08,11.235,,1.0
10.918,13.957,-0.14,10.991,K2-206,0.789,13.100,,0.758,11.439,,1.0
11.383,13.906,0.11,11.456,K2-207,0.942,13.166,,0.928,11.780,,1.0
10.746,13.241,-0.11,10.824,K2-208,0.925,12.503,,0.862,11.164,,1.0
8.613,12.050,-0.06,8.774,K2-209,0.745,11.205,,0.712,9.263,,1.0
9.915,12.882,0.05,9.995,K2-210,0.912,11.535,,0.852,10.354,,1.0
11.104,14.028,0.11,11.205,K2-211,0.882,13.075,,0.816,11.624,,1.0
9.856,14.401,-0.33,10.015,K2-212,0.622,13.100,,0.598,10.629,,1.0
10.656,12.721,0.25,10.729,K2-213,1.070,11.803,,1.20,11.034,,1.0
10.223,12.146,0.12,10.217,K2-214,1.022,11.805,,1.12,10.576,,1.0
11.298,13.721,0.11,11.405,K2-215,1.000,12.986,,0.974,11.679,,1.0
9.721,13.563,-0.18,9.856,K2-216,0.699,12.476,,0.666,10.394,,1.0
10.679,12.813,0.04,10.747,K2-217,1.103,12.187,,1.33,11.009,,1.0
11.206,13.601,0.25,11.267,K2-218,1.047,12.876,,1.008,11.563,,1.0
10.424,12.837,0.13,10.509,K2-219,1.022,12.090,,1.19,10.849,,3.0
10.161,12.656,0.06,10.230,K2-220,0.960,11.890,,0.930,10.582,,1.0
10.852,13.343,0.13,10.884,K2-221,1.011,12.703,,0.948,11.229,,1.0
8.105,10.038,-0.3,8.169,K2-222,0.950,9.543,,1.04,8.423,,1.0
9.835,12.132,0.19,9.946,K2-223,1.067,11.431,,1.013,10.177,,2.0
10.940,,-0.190,11.029,K2-224,0.91,12.682,,0.84,11.352,5620.00,2.0
9.954,12.265,0.47,10.046,K2-225,1.115,11.836,,1.21,10.362,,1.0
10.223,13.194,-0.08,10.307,K2-226,0.886,12.308,,0.824,10.697,,1.0
10.005,12.674,-0.1,10.055,K2-227,0.951,12.015,,0.891,10.393,,1.0
10.324,14.112,-0.13,10.439,K2-228,0.742,12.995,,0.699,10.978,,1.0
9.050,12.048,-0.03,9.126,K2-229,0.858,10.985,,0.802,9.518,,2.0
11.257,13.298,0.21,11.322,K2-230,1.131,12.707,,1.18,11.575,,1.0
10.859,13.500,0.14,11.004,K2-231,1.01,12.708,,0.95,11.294,5695,1.0
8.434,,0.100,8.480,K2-232,1.19,9.899,,1.16,8.739,6154.00,1.0
8.375,11.81,0.070,8.501,K2-233,0.80,10.726,K3,0.74,8.968,4950.00,3.0
10.217,,0.000,10.268,K2-237,1.23,11.601,F9V,1.38,10.508,6099.00,1.0
12.032,,0.340,12.095,K2-238,1.19,13.748,G2V,1.59,12.464,5630.00,1.0
9.971,,-0.100,10.192,K2-239,0.40,14.549,M3.0V,0.36,10.781,3420.00,3.0
9.560,,-0.100,9.745,K2-240,0.58,13.392,M0.5V,0.54,10.394,3810.00,2.0
9.933,12.41,-0.440,9.988,K2-241,0.71,11.970,,0.75,10.442,5262.00,1.0
11.777,18.05,-0.010,12.015,K2-242,0.38,16.588,,0.37,12.621,3459.00,1.0
9.591,11.392,-0.030,9.637,K2-243,1.29,10.970,,1.39,9.852,6570.00,2.0
10.163,12.20,-0.290,10.235,K2-244,0.86,11.780,,0.92,10.555,5677.00,1.0
11.158,12.75,-0.450,11.227,K2-245,0.83,12.212,,1.25,11.499,5793.00,1.0
12.788,15.22,-0.190,12.852,K2-246,0.87,14.550,,0.94,13.168,5610.00,1.0
11.556,16.21,-0.080,11.768,K2-247,0.74,14.956,,0.69,12.380,4667.00,2.0
11.643,,-0.100,11.634,K2-248,0.88,13.402,,0.92,12.079,5528.00,1.0
10.883,,0.040,10.945,K2-249,1.32,11.827,,1.57,11.270,6504.00,1.0
12.016,15.20,-0.090,12.078,K2-250,0.80,14.267,,0.81,12.539,5172.00,1.0
11.515,17.17,-0.040,11.713,K2-251,0.52,15.621,,0.49,12.341,3717.00,1.0
10.683,13.80,-0.090,10.774,K2-252,0.79,12.847,,0.82,11.236,5152.00,1.0
12.947,15.81,0.000,13.097,K2-253,1.08,14.868,,1.10,13.492,6027.00,1.0
11.296,15.39,-0.140,11.389,K2-254,0.71,14.183,,0.67,11.986,4629.00,2.0
10.827,14.95,-0.140,10.956,K2-255,0.71,13.756,,0.69,11.556,4676.00,1.0
12.820,15.70,-0.100,12.912,K2-256,0.84,14.939,,0.78,13.350,5219.00,1.0
9.661,15.20,-0.030,9.898,K2-257,0.52,13.716,,0.50,10.477,3725.00,1.0
11.782,,0.010,11.837,K2-258,1.21,13.298,,1.31,12.124,6351.00,1.0
11.115,,0.160,11.180,K2-259,1.14,12.536,,1.13,11.425,6059.00,1.0
11.093,,-0.140,11.189,K2-260,1.39,12.689,F6V,1.69,11.400,6367.00,1.0
8.890,,0.360,8.920,K2-261,1.10,10.612,G7IV/V,1.65,9.337,5537.00,1.0
9.748,,-0.080,9.814,K2-263,0.88,11.606,G9V,0.85,10.216,5368.00,1.0
12.183,,-0.013,12.386,K2-264,0.50,,M2.5V,0.47,13.047,3660.00,2.0
9.259,,0.078,9.312,K2-265,0.92,11.102,G8V,0.98,9.726,5477.00,1.0
8.897,,-0.120,9.041,K2-266,0.69,11.808,,0.70,9.611,4285.00,4.0
11.6390000,,0.030,11.7200000,K2-268,0.84,13.8480000,,0.78,12.1580000,5106.00,5.0
10.212,12.37,-0.080,10.290,K2-269,1.16,11.784,,1.45,10.541,6209.00,1.0
10.530,15.97,-0.13,10.762,K2-26,0.56,14.53,M1.0V,0.52,11.350,3785,1.0
11.368,,0.260,11.462,K2-270,0.85,13.782,,0.77,11.968,4877.00,2.0
12.154,,-0.300,12.203,K2-271,0.83,13.827,,0.99,12.555,5644.00,1.0
12.000,,-0.280,12.076,K2-272,0.81,13.841,,0.81,12.486,5419.00,1.0
11.300,,0.200,11.372,K2-273,0.90,13.371,,0.84,11.811,5200.00,1.0
10.986,,-0.130,11.051,K2-274,0.81,13.086,,0.74,11.507,5065.00,1.0
9.749,,0.000,9.861,K2-275,0.79,12.063,,0.73,10.364,4812.00,2.0
12.260,,0.070,12.388,K2-276,0.82,14.627,,0.85,12.871,5139.00,1.0
8.687,,0.110,8.748,K2-277,1.02,10.364,,0.97,9.081,5741.00,1.0
11.701,14.16,0.000,11.809,K2-278,1.40,13.412,,1.61,12.097,6747.00,1.0
9.994,12.33,-0.370,10.091,K2-279,0.79,11.491,,0.86,10.431,5558.00,1.0
10.765,13.27,0.300,10.854,K2-280,1.11,12.536,,1.28,11.141,5742.00,1.0
12.523,16.24,0.220,12.626,K2-281,0.82,15.117,,0.76,13.195,4812.00,1.0
12.002,14.86,,12.084,K2-282,0.94,14.042,,,12.437,,2.0
11.983,15.52,0.280,12.114,K2-283,0.89,14.445,,0.82,12.579,5060.00,1.0
10.058,14.713,0.000,10.206,K2-284,0.63,13.322,,0.61,10.868,4140.00,1.0
9.971,12.87,0.000,10.069,K2-285,0.83,12.030,K2V,0.79,10.477,4975.00,4.0
9.317,14.12,0.000,9.518,K2-286,0.64,12.763,M0V,0.62,10.127,3926.00,1.0
9.188,12.01,0.200,9.283,K2-287,1.06,11.410,,1.07,9.677,5695.00,1.0
,,-0.29,,K2-288 A,0.52,,M2V,0.45,10.910,,0.0
9.724,,-0.210,9.946,K2-288 B,0.33,13.868,M3V,0.32,10.545,3341.00,1.0
10.641,,0.162,10.847,K2-289,0.95,14.465,,1.02,11.435,5529.00,1.0
9.420,11.68,-0.060,9.477,K2-290,1.19,11.114,,1.51,9.771,6302.00,2.0
8.353,10.83,0.080,8.407,K2-291,0.93,10.014,,0.90,8.765,5520.00,1.0
8.407,10.576,0.070,8.452,K2-292,1.00,9.917,G3V,1.09,8.730,5725.00,1.0
11.544,14.13,0.218,11.565,K2-293,0.96,13.357,,0.95,11.959,5532.00,1.0
10.859,13.27,0.194,10.922,K2-294,0.99,12.502,,1.20,11.268,5612.00,1.0
11.135,15.07,0.140,11.259,K2-295,0.74,13.946,K5V,0.70,11.807,4444.00,1.0
13.206,15.65,-0.100,13.346,K2-308,1.09,14.963,,1.24,13.657,6100.00,1.0
11.088,14.506,0.136,11.190,K2-30,0.984,13.53,G8,0.941,11.632,5581.0,1.0
11.838,,-0.240,12.134,K2-315,0.17,17.670,M(3.5+/-0.5)V,0.20,12.665,3300.00,1.0
11.911,,,12.144,K2-316,0.41,,,0.38,12.717,3436.00,2.0
12.990,,,13.293,K2-317,0.40,,,0.38,13.928,3387.00,1.0
11.152,,,11.341,K2-318,0.56,15.269,,0.55,12.042,3851.00,1.0
10.223,,,10.313,K2-319,0.95,12.172,,0.90,10.705,5440.00,1.0
12.508,,,12.823,K2-320,0.12,,,0.30,13.411,3157.00,1.0
9.567,,,9.796,K2-321,0.60,13.677,,0.58,10.462,3855.00,1.0
10.413,,,10.569,K2-322,0.63,13.941,,0.60,11.194,4141.00,1.0
10.789,,,11.002,K2-323,0.48,14.932,,0.55,11.648,3710.00,1.0
11.237,,,11.457,K2-324,0.52,15.399,,0.51,12.092,3752.00,1.0
12.352,,,12.595,K2-325,0.27,,,0.30,13.177,3287.00,1.0
12.091,,,12.231,K2-326,0.51,15.342,,0.69,12.977,3924.00,1.0
9.821,,,9.993,K2-32,0.86,12.310,G9V,0.84,10.404,,4.0
8.4120000,,-0.030,8.4600000,K2-330,1.23,9.6080000,,1.50,8.6680000,6232.00,1.0
9.8040000,,0.080,9.8930000,K2-331,1.10,11.3050000,,1.06,10.1590000,5994.00,2.0
12.6380000,,0.090,12.9470000,K2-332,0.27,,,0.28,13.5010000,3315.00,1.0
10.5960000,,0.070,10.6030000,K2-333,1.06,12.0730000,,1.22,10.9410000,5880.00,1.0
10.2340000,,0.170,10.3240000,K2-334,1.36,11.8420000,,1.49,10.5010000,6502.00,1.0
11.2810000,,0.100,11.3370000,K2-335,1.23,12.5560000,,1.33,11.5860000,6222.00,1.0
10.7960000,,-0.170,10.9110000,K2-336,0.86,12.8030000,,0.80,11.2910000,5424.00,1.0
10.8040000,,-0.270,10.8950000,K2-337,0.94,12.3850000,,1.32,11.1860000,5869.00,1.0
10.6130000,,-0.230,10.7470000,K2-338,0.66,13.3220000,,0.63,11.3360000,4558.00,1.0
12.1730000,,-0.110,12.2950000,K2-339,0.74,14.4870000,,0.72,12.7960000,4857.00,1.0
12.4350000,,0.080,12.4910000,K2-340,0.93,14.4280000,,1.13,12.9270000,5532.00,1.0
11.1700000,,-0.050,11.2490000,K2-341,0.98,12.7250000,,1.16,11.5160000,5817.00,1.0
9.7100000,,-0.060,9.8100000,K2-342,1.01,11.3380000,,1.09,10.0840000,5920.00,1.0
11.8550000,,-0.100,12.0700000,K2-343,0.49,16.0100000,,0.46,12.6920000,3804.00,2.0
9.6620000,,-0.950,9.8580000,K2-344,0.51,13.4230000,,0.49,10.4960000,4374.00,1.0
11.4600000,,0.260,11.6560000,K2-345,0.56,15.7200000,,0.52,12.3440000,3779.00,1.0
9.5010000,,-0.180,9.5660000,K2-346,0.71,11.9030000,,0.70,10.1280000,4801.00,1.0
12.3000000,,-0.260,12.4470000,K2-347,0.66,15.1500000,,0.63,13.0520000,4599.00,1.0
10.3810000,,0.130,10.4850000,K2-348,0.83,12.5720000,,0.85,10.9580000,5077.00,2.0
12.2040000,,-0.660,12.3070000,K2-349,0.54,14.5850000,,0.49,12.7430000,4385.00,1.0
10.193,12.018,0.24,10.258,K2-34,1.281,11.447,F9,1.526,10.528,6132.0,1.0
11.7760000,,-0.020,11.8670000,K2-350,0.98,13.4490000,,1.04,12.1910000,5789.00,2.0
12.4970000,,0.080,12.5350000,K2-351,1.02,14.1950000,,1.05,12.8690000,5769.00,1.0
9.6910000,,-0.050,9.7590000,K2-352,0.98,11.1250000,,0.95,10.0440000,5791.00,3.0
10.5470000,,-0.210,10.6110000,K2-353,0.87,12.3370000,,0.99,10.9510000,5698.00,1.0
10.9640000,,-0.040,11.1310000,K2-354,0.43,15.2960000,,0.41,11.7760000,3669.00,1.0
12.0160000,,-0.120,12.0730000,K2-355,0.96,13.7070000,,0.92,12.4040000,5790.00,1.0
11.5080000,,-0.110,11.5880000,K2-356,0.90,13.2680000,,0.86,11.9570000,5568.00,1.0
11.9520000,,-0.020,11.9950000,K2-357,0.98,13.7480000,,1.00,12.3660000,5794.00,1.0
11.9890000,,-0.070,12.0510000,K2-358,0.93,13.6990000,,0.91,12.4220000,5650.00,1.0
9.6230000,,-0.021,9.7240000,K2-365,0.82,11.3720000,,1.05,10.1090000,5561.00,1.0
9.8750000,,-0.216,9.9790000,K2-366,0.83,12.6360000,,0.94,10.4880000,5601.00,1.0
10.9570000,,-0.351,11.0870000,K2-367,0.76,13.7940000,,0.62,11.6660000,4348.00,1.0
11.0420000,,-0.250,11.1030000,K2-368,0.75,13.5810000,,0.66,11.6130000,4663.00,3.0
9.9340000,,-0.234,9.9800000,K2-369,0.73,11.7890000,,0.88,10.3570000,5682.00,1.0
9.454,12.57,-0.090,9.549,K2-36,0.79,11.800,K2V,0.72,10.034,4916.00,2.0
9.2370010,,0.018,9.2470000,K2-370,0.98,11.1090000,G8,0.97,9.6670000,5377.00,1.0
12.3910000,,-0.107,12.4940000,K2-371,0.96,14.4920000,,0.74,12.9740000,4925.00,1.0
11.8700000,,-0.064,11.9180000,K2-372,0.85,13.5890000,,0.92,12.3020000,5479.00,1.0
9.1630000,,0.049,9.2420000,K2-373,1.16,10.4700000,,1.49,9.4860000,6138.00,1.0
11.2870000,,-0.292,11.3440000,K2-374,0.73,12.7830000,G3,0.91,11.6440000,5789.00,2.0
11.5570000,,-0.091,11.5940000,K2-375,1.12,13.1640000,,1.54,11.8990000,5822.00,1.0
9.0070000,,-0.176,9.0650000,K2-376,0.91,10.4150000,G1,1.15,9.3290010,5937.00,1.0
10.9940000,,-0.008,11.1470000,K2-377,0.82,14.1070000,,0.69,11.7390000,4200.00,1.0
13.3920000,,-0.206,13.4410000,K2-378,0.92,16.0290000,,0.73,13.9580000,4823.00,1.0
10.5140000,,-0.045,10.6640000,K2-379,0.86,13.2650000,,0.75,11.1510000,4603.00,1.0
9.6810000,,-0.049,9.8030010,K2-380,0.99,11.6880000,,1.32,10.1200000,5911.00,1.0
10.3020000,,-0.244,10.3900000,K2-381,0.75,12.8830000,,0.68,10.9700000,4473.00,3.0
11.0460000,,-0.027,11.1110000,K2-382,0.92,12.9770000,,0.81,11.4810000,5452.00,1.0
10.4560000,,0.187,10.6010000,K2-383,1.06,12.6890000,,0.80,10.9940000,5129.00,1.0
11.2940000,,0.068,11.5450000,K2-384,0.33,16.1200000,M4V,0.35,12.1180000,3623.00,5.0
12.2370000,,-0.224,12.2760000,K2-385,0.93,14.6450000,,0.76,12.8160000,4844.00,1.0
11.5250000,,0.074,11.6070000,K2-386,0.91,13.2410000,,0.97,11.8640000,5749.00,1.0
12.2860000,,0.126,12.4370000,K2-387,0.57,16.1470000,,0.59,13.1500000,3572.00,1.0
10.9310000,,0.124,10.9910000,K2-388,0.84,12.8610000,G8,0.90,11.4010000,5367.00,1.0
10.1840000,,-0.034,10.2330000,K2-389,0.80,11.8270000,G3,1.08,10.5120000,5782.00,2.0
11.7180000,,-0.116,11.8000000,K2-390,0.79,13.6110000,G4,0.97,12.1280000,5558.00,1.0
10.7050000,,-0.543,10.8130000,K2-391,0.76,12.5270000,G7,0.57,11.1340000,5543.00,1.0
11.2380000,,-0.238,11.2590000,K2-392,0.84,12.9220000,G3,1.06,11.6030000,5726.00,1.0
10.2840000,,0.076,10.3770000,K2-393,0.88,11.8400000,,1.07,10.6940000,5678.00,1.0
9.5680000,,-0.388,9.7260000,K2-394,0.48,12.7680000,,0.63,10.3450000,4938.00,1.0
11.3650000,,-0.033,11.5080000,K2-395,0.95,15.1310000,K0,0.78,12.0940000,5007.00,2.0
10.8110000,,0.237,10.9150000,K2-396,0.95,13.3200000,G9,0.92,11.3560000,5236.00,2.0
9.9500000,,0.110,10.0290000,K2-397,0.94,11.8650000,G7,0.97,10.4020000,5387.00,1.0
11.7170000,,-0.257,11.7170000,K2-398,0.95,13.2870000,G2,1.24,12.0340000,5946.00,2.0
10.9300000,,0.252,10.9450000,K2-399,0.78,12.4780000,F9,1.54,11.2580000,5690.00,1.0
,11.915,0.32,,K2-39,1.53,10.872,,3.88,,4881.0,1.0
8.561,13.52,-0.320,8.805,K2-3,0.60,12.170,M0.0&plusmn;0.5V,0.56,9.421,3896.00,3.0
10.4050000,,-0.051,10.6840000,K2-400,0.37,15.1080000,M3,0.38,11.2620000,3578.00,1.0
11.1060000,,-0.098,11.2660000,K2-401,0.87,14.0140000,K7,0.68,11.8670000,4213.00,1.0
11.3770000,,-0.378,11.4060000,K2-402,0.94,13.0320000,G2,1.28,11.7460000,5716.00,1.0
10.5810000,,-0.162,10.6290000,K2-403,0.78,12.3050000,G4,0.89,10.9770000,5511.00,1.0
10.7500000,,0.005,10.9440000,K2-404,0.55,14.6220000,M1,0.55,11.5810000,3748.00,1.0
10.5470000,,0.132,10.6530000,K2-405,1.03,12.8160000,K0,0.77,11.0960000,4927.00,1.0
8.0330000,,-0.038,8.1630000,K2-406,0.80,9.4650000,G4,0.96,8.4310000,5784.00,1.0
10.2130000,,0.014,10.3230000,K2-407,0.88,11.9690000,G4,0.93,10.6860000,5563.00,2.0
9.9780000,,-0.171,10.0330000,K2-408,0.81,12.0560000,G7,0.78,10.4270000,5335.00,1.0
11.0380000,,-0.036,11.1280000,K2-409,0.89,12.9020000,G4,1.23,11.4250000,5742.00,1.0
11.4380000,,-0.102,11.5590000,K2-414,0.81,14.2890000,,0.73,12.1840000,4343.00,2.0
10.764,12.959,0.31,10.799,K2-41,1.068,12.914,,1.040,11.110,,1.0
12.284,,,12.398,K2-42,0.70,15.023,,0.64,12.982,4613.00,1.0
11.577,17.25,,11.712,K2-43,0.57,15.596,,0.54,12.422,3840.60,2.0
12.756,,,12.920,K2-45,0.50,15.780,,0.45,13.536,4103.00,1.0
11.735,,,11.856,K2-47,0.75,14.085,,0.76,12.295,5054.00,1.0
11.838,,,11.903,K2-48,0.77,14.277,,0.73,12.430,4899.00,1.0
12.729,,,12.873,K2-49,0.51,15.668,,0.45,13.463,4175.00,1.0
11.664,,,11.765,K2-50,0.61,14.717,,,12.410,,2.0
11.853,,0.055,12.126,K2-52,1.69,,,2.19,12.729,7147.00,1.0
9.664,,-0.037,9.826,K2-53,0.85,,,0.81,10.306,5263.00,1.0
11.075,,,11.231,K2-54,0.42,14.042,,0.38,11.850,3798.00,1.0
10.471,,,10.615,K2-55,0.70,13.546,,0.63,11.230,4456.00,1.0
11.645,,,11.761,K2-57,0.68,14.501,,0.62,12.350,4434.00,1.0
10.215,13.317,0.11,10.314,K2-58,0.858,12.378,,0.803,10.765,,3.0
11.838,,,11.981,K2-59,0.77,14.226,,0.73,12.454,5055.00,2.0
,,0.01,,K2-60,0.97,12.79,G4V,1.12,,5500.0,1.0
11.385,13.689,0.17,11.423,K2-61,1.030,12.991,,1.02,11.758,,1.0
9.688,13.505,-0.29,9.811,K2-62,0.684,12.397,,0.648,10.374,,2.0
11.274,,,11.320,K2-63,1.40,12.876,,1.63,11.606,6771.00,2.0
12.201,,,12.258,K2-64,0.74,14.086,,0.73,12.665,5312.00,1.0
8.344,11.595,-0.34,8.457,K2-65,0.702,10.801,,0.669,8.967,,1.0
10.609,,-0.047,10.664,K2-66,1.11,11.710,,1.67,10.948,5887.00,1.0
10.530,13.965,-0.21,10.651,K2-68,0.751,12.977,,0.702,11.139,,1.0
11.766,,,11.933,K2-69,0.55,,,0.49,12.608,4127.00,1.0
10.853,13.915,0.06,10.935,K2-70,0.848,12.989,,0.799,11.355,,1.0
11.732,,,11.927,K2-71,0.48,,,0.43,12.598,4006.00,1.0
10.962,,,11.122,K2-72,0.27,15.309,,0.33,11.685,3360.47,4.0
10.322,12.431,0.09,10.382,K2-73,1.043,11.345,,1.05,10.695,,1.0
11.068,13.139,-0.21,11.177,K2-74,0.987,12.588,,1.09,11.427,,1.0
11.178,13.346,0.3,11.283,K2-75,1.174,12.701,,1.24,11.564,,2.0
9.907,12.893,0.2,9.998,K2-79,1.062,12.075,,1.038,10.358,,1.0
10.313,13.610,0.07,10.425,K2-80,0.913,12.626,,0.841,10.874,,3.0
11.316,,,11.419,K2-81,0.75,14.364,,0.63,12.048,4674.13,1.0
10.765,,,10.945,K2-83,0.48,14.514,,0.42,11.599,3910.00,2.0
11.059,,,11.206,K2-84,0.95,13.443,,0.93,11.613,5652.00,2.0
9.466,13.804,-0.14,9.613,K2-85,0.678,12.831,,0.647,10.229,,1.0
10.927,13.814,-0.35,11.003,K2-86,0.757,13.167,,0.722,11.440,,1.0
11.197,,0.328,11.359,K2-87,1.16,14.134,,1.40,11.811,5747.00,1.0
11.240,,,11.456,K2-88,0.26,15.476,,0.26,12.037,3537.00,1.0
10.106,,,10.318,K2-89,0.35,14.162,,0.32,10.933,3691.00,1.0
10.360,,-0.225,10.495,K2-90,0.63,13.855,,0.62,11.168,4484.00,2.0
10.571,,,10.835,K2-91,0.29,15.572,,0.28,11.433,3622.00,1.0
10.035,,0.42,10.177,K2-97,1.16,12.79,,4.2,10.694,,1.0
4.571,4.076,0.00,4.595,Kappa Andromedae,2.768,4.14,B9IVn,2.109,4.624,11327,1.0
2.423,5.81,0.10,2.575,kappa CrB,1.51,4.79,K0III-IV,4.71,3.035,4877,1.0
5.049,10.433,-0.86,5.316,Kapteyn,0.281,8.853,M1VIp,0.291,5.821,3550.0,2.0
9.338,11.34,0.09,9.388,KELT-10,1.112,10.62,,1.209,9.693,5948,1.0
,,0.18,,KELT-11,1.438,8.04,G8,2.72,,5370.0,1.0
,,0.19,,KELT-12,1.592,10.59,,2.37,,6278.0,1.0
9.854,11.189,0.047,9.919,KELT-15,1.181,11.745,G0,1.481,10.205,6003,1.0
,,-0.002,,KELT-16,1.211,11.72,F7V,1.36,,6236.0,1.0
8.646,9.553,-0.018,8.697,KELT-17,1.635,9.286,,1.645,8.745,7454,1.0
,10.62,0.09,,KELT-18,1.524,10.16,F4V,1.908,,6670.0,1.0
9.196,10.201,-0.12,9.237,KELT-19 A,1.62,9.885,A8 V,1.830,9.343,7500,1.0
,,,,KELT-19 B,,,,,,,0.0
10.090,10.76,-0.405,10.121,KELT-21,1.458,10.48,A8 V,1.638,10.149,7598,1.0
,10.973,-0.105,,KELT-23 A,0.944,10.253,G2 V,0.996,9.208,5899,1.0
,,,,KELT-23 B,,,,,,,0.0
7.154,,0.186,7.200,KELT-24,1.46,8.332,F5,1.51,7.408,6509.00,1.0
7.346,9.33,-0.034,7.417,KELT-2A,1.314,8.77,F7V,1.836,7.669,6148,1.0
,,,,KELT-2B,0.78,12.0,K2V,0.70,,485,0.0
8.662,10.30,0.047,8.728,KELT-3,1.282,9.82,F2,1.482,8.963,6304,1.0
8.689,10.47,-0.116,8.790,KELT-4A,1.201,9.98,F,1.610,9.017,6206,1.0
,,,,KELT-4B,,,,,,,0.0
,,,,KELT-4C,,,,,,,0.0
9.08,10.81,-0.27,9.137,KELT-6,1.126,10.337,F8,1.529,9.30,6272,2.0
7.543,8.970,0.139,7.580,KELT-7,1.535,8.540,F2,1.732,7.739,6789,1.0
9.177,11.545,0.272,9.269,KELT-8,1.211,10.833,G2V,1.67,9.586,5754,1.0
12.094,,0.35,12.137,Kepler-1000,1.40,,,1.51,12.319,6453.0,1.0
13.662,,-0.030,13.718,Kepler-1001,0.90,,,0.88,14.109,5491.00,2.0
,,0.04,,Kepler-1002,1.22,,,1.57,,6144.0,1.0
,,0.01,,Kepler-1003,1.11,,,1.17,,6109.0,1.0
11.718,,0.02,11.788,Kepler-1005,1.00,,,1.06,12.091,5782.0,1.0
12.502,15.02,-0.40,12.625,Kepler-1006,0.78,14.71,,0.74,13.053,5328.0,1.0
12.224,,0.03,12.326,Kepler-1007,0.73,,,0.70,12.940,4587.0,1.0
,,-0.01,,Kepler-1008,0.81,,,0.78,,5066.0,1.0
,,-0.12,,Kepler-1009,0.59,,,0.57,,4027.0,1.0
9.768,11.86,0.02,9.804,Kepler-100,1.08,11.06,,1.49,10.081,5825,3.0
12.771,,-0.01,12.878,Kepler-1010,0.86,,,0.82,13.293,5253.0,1.0
13.36,,0.08,13.432,Kepler-1011,0.91,,,0.88,13.832,5416.0,1.0
11.664,,0.05,11.755,Kepler-1012,0.95,,,0.91,12.064,5556.0,1.0
12.289,,0.04,12.370,Kepler-1013,0.81,,,0.76,12.881,4954.0,1.0
12.90,,-0.06,12.937,Kepler-1014,0.88,,,0.84,13.370,5388.0,1.0
,,0.06,,Kepler-1015,1.49,,,1.81,,6769.0,1.0
,,-0.03,,Kepler-1016,0.99,,,1.00,,5821.0,2.0
,,0.04,,Kepler-1017,0.93,,,0.87,,5473.0,1.0
,,-0.05,,Kepler-1018,0.91,,,0.88,,5518.0,1.0
,,0.01,,Kepler-1019,0.70,,,0.67,,4433.0,1.0
12.01,14.52,,12.112,Kepler-101,1.17,13.80,G3IV,1.56,12.40,5667,2.0
,,0.00,,Kepler-1020,0.87,,,0.80,,5227.0,1.0
,,-0.05,,Kepler-1021,0.89,,,0.86,,5431.0,1.0
,,0.06,,Kepler-1022,0.71,,,0.68,,4445.0,1.0
,,0.05,,Kepler-1023,0.93,,,0.89,,5494.0,1.0
,,-0.10,,Kepler-1024,0.81,,,0.78,,5143.0,1.0
,,-0.03,,Kepler-1025,1.09,,,1.13,,6089.0,1.0
,,-0.02,,Kepler-1026,0.79,,,0.75,,4948.0,1.0
,,-0.06,,Kepler-1027,0.91,,,0.82,,5436.0,1.0
12.630,,-0.09,12.73,Kepler-1028,0.90,,,0.87,13.124,5522.0,1.0
,,0.01,,Kepler-1029,0.82,,,0.77,,5030.0,1.0
9.351,12.58,0.08,9.446,Kepler-102,0.80,12.07,,0.74,9.984,4903,5.0
,,-0.01,,Kepler-1030,0.80,,,0.76,,4983.0,1.0
,,0.03,,Kepler-1031,1.09,,,1.12,,6011.0,1.0
,,0.16,,Kepler-1032,0.77,,,0.71,,4647.0,1.0
,,0.06,,Kepler-1033,0.94,,,0.92,,5547.0,1.0
,,-0.06,,Kepler-1034,0.83,,,0.80,,5198.0,1.0
,,-0.03,,Kepler-1035,0.98,,,0.97,,5763.0,1.0
,,0.04,,Kepler-1036,0.95,,,0.89,,5533.0,1.0
,,-0.03,,Kepler-1037,0.82,,,0.78,,5105.0,1.0
